"Link_id";"Link_Direction";"Timestamp";"Congestion"
"14290764";"2";"2026-01-19 15:00:00.000";"Low"
"14290926";"1";"2026-01-19 15:00:00.000";"Low"
"14290961";"1";"2026-01-19 15:00:00.000";"Low"
"14291050";"1";"2026-01-19 15:00:00.000";"Medium"
"14291173";"1";"2026-01-19 15:00:00.000";"High"
"14291356";"1";"2026-01-19 15:00:00.000";"Low"
"14292307";"1";"2026-01-19 15:00:00.000";"Low"
"14292503";"1";"2026-01-19 15:00:00.000";"Low"
"14292503";"2";"2026-01-19 01:45:00.000";"Medium"
"14293073";"1";"2026-01-19 15:00:00.000";"Low"
"14293073";"2";"2026-01-19 15:00:00.000";"Medium"
"14293311";"1";"2026-01-19 15:00:00.000";"Low"
"14293311";"2";"2026-01-19 14:00:00.000";"Low"
"14293732";"1";"2026-01-18 21:45:00.000";"Low"
"14293732";"2";"2026-01-19 08:45:00.000";"Low"
"14293829";"1";"2026-01-19 15:00:00.000";"Low"
"14294151";"1";"2026-01-19 15:00:00.000";"Low"
"14294384";"1";"2026-01-19 14:30:00.000";"Low"
"14295633";"1";"2026-01-19 15:00:00.000";"Low"
"14296060";"1";"2026-01-19 14:45:00.000";"Medium"
"14296129";"1";"2026-01-19 14:00:00.000";"Low"
"14296206";"1";"2026-01-19 15:00:00.000";"Medium"
"14296674";"1";"2026-01-19 15:00:00.000";"Medium"
"14298307";"1";"2026-01-19 15:00:00.000";"Low"
"14298350";"1";"2026-01-19 15:00:00.000";"Low"
"14298631";"1";"2026-01-19 14:30:00.000";"Low"
"14298631";"2";"2026-01-19 15:00:00.000";"Low"
"14299546";"1";"2026-01-19 14:45:00.000";"Low"
"14299650";"1";"2026-01-19 14:30:00.000";"Low"
"14299694";"1";"2026-01-19 15:00:00.000";"Low"
"14299750";"1";"2026-01-19 14:45:00.000";"Low"
"14300100";"1";"2026-01-19 13:00:00.000";"Low"
"14300453";"1";"2026-01-19 14:30:00.000";"Low"
"14300516";"1";"2026-01-19 15:00:00.000";"Medium"
"14300592";"1";"2026-01-19 14:15:00.000";"Low"
"14300991";"1";"2026-01-19 14:00:00.000";"Low"
"14301106";"1";"2026-01-19 15:00:00.000";"Low"
"14301500";"1";"2026-01-19 14:30:00.000";"High"
"14301548";"1";"2026-01-19 14:45:00.000";"Low"
"14301626";"1";"2026-01-19 14:30:00.000";"Low"
"14301667";"2";"2026-01-19 15:00:00.000";"Low"
