"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14251756";"1";"2026-01-19 15:00:00.000";"73";"1"
"14251908";"1";"2026-01-19 10:30:00.000";"55";"1"
"14251968";"1";"2026-01-19 15:00:00.000";"43";"1"
"14252079";"1";"2026-01-19 14:45:00.000";"27";"1"
"14252175";"1";"2026-01-19 13:00:00.000";"21";"1"
"14290764";"1";"2026-01-19 14:30:00.000";"41";"1"
"14290764";"2";"2026-01-19 15:00:00.000";"41";"1"
"14290926";"1";"2026-01-19 15:00:00.000";"26";"4"
"14290961";"1";"2026-01-19 15:00:00.000";"25";"1"
"14291050";"1";"2026-01-19 15:00:00.000";"19";"2"
"14291173";"1";"2026-01-19 15:00:00.000";"9";"1"
"14291356";"1";"2026-01-19 15:00:00.000";"21";"3"
"14292307";"1";"2026-01-19 15:00:00.000";"36";"1"
"14292503";"1";"2026-01-19 15:00:00.000";"30";"1"
"14292503";"2";"2026-01-19 01:45:00.000";"20";"1"
"14293073";"1";"2026-01-19 15:00:00.000";"29";"2"
"14293073";"2";"2026-01-19 15:00:00.000";"15";"1"
"14293311";"1";"2026-01-19 15:00:00.000";"26";"1"
"14293311";"2";"2026-01-19 14:00:00.000";"29";"1"
"14293732";"1";"2026-01-18 21:45:00.000";"26";"1"
"14293732";"2";"2026-01-19 08:45:00.000";"22";"1"
"14293829";"1";"2026-01-19 15:00:00.000";"24";"3"
"14294151";"1";"2026-01-19 15:00:00.000";"44";"1"
"14294384";"1";"2026-01-19 14:30:00.000";"22";"1"
"14295633";"1";"2026-01-19 15:00:00.000";"33";"3"
"14296060";"1";"2026-01-19 14:45:00.000";"19";"1"
"14296129";"1";"2026-01-19 14:00:00.000";"21";"1"
"14296206";"1";"2026-01-19 15:00:00.000";"19";"2"
"14296674";"1";"2026-01-19 15:00:00.000";"20";"2"
"14298307";"1";"2026-01-19 15:00:00.000";"55";"1"
"14298350";"1";"2026-01-19 15:00:00.000";"45";"1"
"14298631";"1";"2026-01-19 14:30:00.000";"32";"1"
"14298631";"2";"2026-01-19 15:00:00.000";"29";"1"
"14299546";"1";"2026-01-19 14:45:00.000";"30";"1"
"14299650";"1";"2026-01-19 14:30:00.000";"60";"1"
"14299694";"1";"2026-01-19 15:00:00.000";"55";"3"
"14299750";"1";"2026-01-19 14:45:00.000";"66";"2"
"14300100";"1";"2026-01-19 13:00:00.000";"27";"1"
"14300453";"1";"2026-01-19 14:30:00.000";"26";"1"
"14300516";"1";"2026-01-19 15:00:00.000";"16";"3"
"14300592";"1";"2026-01-19 14:15:00.000";"28";"1"
"14300991";"1";"2026-01-19 14:00:00.000";"23";"1"
"14301106";"1";"2026-01-19 15:00:00.000";"25";"1"
"14301500";"1";"2026-01-19 14:30:00.000";"7";"1"
"14301548";"1";"2026-01-19 14:45:00.000";"23";"1"
"14301626";"1";"2026-01-19 14:30:00.000";"25";"1"
"14301667";"2";"2026-01-19 15:00:00.000";"35";"1"
"14301746";"1";"2026-01-19 15:00:00.000";"16";"1"
"14301805";"1";"2026-01-19 15:00:00.000";"7";"1"
"14301857";"1";"2026-01-19 08:30:00.000";"47";"1"
"14302121";"1";"2026-01-19 15:00:00.000";"21";"5"
"14302366";"1";"2026-01-19 14:00:00.000";"26";"1"
"14302441";"1";"2026-01-19 14:00:00.000";"29";"1"
"14302490";"1";"2026-01-19 15:00:00.000";"38";"1"
"14312752";"1";"2026-01-18 19:15:00.000";"104";"1"
"14313197";"1";"2026-01-19 14:15:00.000";"70";"1"
"14313206";"1";"2026-01-19 14:15:00.000";"71";"1"
"14315755";"1";"2026-01-19 10:30:00.000";"18";"1"
"14315859";"1";"2026-01-19 12:45:00.000";"31";"1"
"14315859";"2";"2026-01-18 16:45:00.000";"31";"1"
"14324217";"1";"2026-01-19 15:00:00.000";"93";"1"
"14324433";"1";"2026-01-19 10:00:00.000";"30";"1"
"14324654";"2";"2026-01-19 05:15:00.000";"64";"1"
"14325207";"1";"2026-01-19 13:15:00.000";"52";"1"
"14325233";"1";"2026-01-19 13:00:00.000";"51";"1"
"14337884";"1";"2026-01-19 13:45:00.000";"51";"1"
"14337884";"2";"2026-01-18 20:15:00.000";"57";"1"
"14338038";"1";"2026-01-18 15:00:00.000";"23";"1"
"14338255";"1";"2026-01-19 14:45:00.000";"59";"1"
"14338944";"1";"2026-01-19 13:45:00.000";"42";"1"
"14339129";"1";"2026-01-19 04:00:00.000";"22";"1"
"14339129";"2";"2026-01-19 09:45:00.000";"7";"1"
"14339139";"1";"2026-01-19 13:15:00.000";"29";"1"
"14339139";"2";"2026-01-19 13:15:00.000";"27";"1"
"14339147";"1";"2026-01-19 15:00:00.000";"83";"2"
"14339182";"1";"2026-01-19 15:00:00.000";"74";"2"
"14339401";"1";"2026-01-19 14:45:00.000";"53";"1"
"14339410";"1";"2026-01-19 14:45:00.000";"36";"1"
"14339433";"1";"2026-01-19 15:00:00.000";"38";"1"
"14339485";"1";"2026-01-19 15:00:00.000";"64";"3"
"14339502";"1";"2026-01-19 15:00:00.000";"50";"5"
"14339504";"1";"2026-01-19 15:00:00.000";"47";"6"
"14339512";"1";"2026-01-19 15:00:00.000";"71";"3"
"14339661";"1";"2026-01-19 15:00:00.000";"64";"4"
"14341801";"1";"2026-01-19 14:45:00.000";"29";"1"
"14341855";"1";"2026-01-19 14:45:00.000";"52";"1"
"14341870";"1";"2026-01-19 10:45:00.000";"58";"1"
"14341935";"1";"2026-01-18 16:00:00.000";"58";"1"
"14341937";"1";"2026-01-19 10:45:00.000";"124";"1"
"14342395";"1";"2026-01-19 12:45:00.000";"87";"1"
"14342396";"1";"2026-01-19 09:45:00.000";"74";"1"
"14342606";"1";"2026-01-19 14:15:00.000";"68";"1"
"14342611";"1";"2026-01-19 14:15:00.000";"74";"1"
"14342645";"1";"2026-01-19 14:30:00.000";"90";"1"
"14342655";"1";"2026-01-19 13:45:00.000";"112";"1"
"14342709";"1";"2026-01-19 14:00:00.000";"120";"1"
"14342725";"1";"2026-01-19 11:45:00.000";"82";"1"
"14342740";"1";"2026-01-19 14:30:00.000";"110";"1"
"14342770";"1";"2026-01-19 14:15:00.000";"97";"1"
"14342775";"1";"2026-01-19 14:45:00.000";"99";"1"
"14342787";"1";"2026-01-19 14:30:00.000";"93";"1"
"14342886";"1";"2026-01-19 12:45:00.000";"97";"1"
"14342900";"1";"2026-01-19 14:00:00.000";"89";"1"
"14378472";"1";"2026-01-19 15:00:00.000";"59";"3"
"14378477";"1";"2026-01-19 15:00:00.000";"38";"3"
"14378651";"1";"2026-01-19 14:30:00.000";"67";"1"
"14378652";"2";"2026-01-19 15:00:00.000";"65";"1"
"14406488";"1";"2026-01-19 13:45:00.000";"43";"1"
"14406488";"2";"2026-01-19 15:00:00.000";"21";"1"
